Product Name,Product Code,Category,Brand,Unit,HSN Code,GST %,Purchase Price,Selling Price,MRP,Minimum Stock,Reorder Level
Claw Hammer,HW-001,Hand Tools,Havells,PCS,5955,12,624.52,799.39,863.34,14,21
Screwdriver Set,HW-002,Hand Tools,Pidilite,SET,3819,18,2801.97,3278.3,3671.7,8,18
Adjustable Wrench,HW-003,Hand Tools,Tata Steel,PCS,6077,28,976.4,1191.21,1274.59,15,21
Combination Plier,HW-004,Hand Tools,Hettich,SET,4989,5,1819.51,2110.63,2385.01,7,17
Hacksaw Blade,HW-005,Hand Tools,Hindware,PCS,4514,12,761.86,944.71,1001.39,16,24
Measuring Tape 5m,HW-006,Hand Tools,Havells,SET,8335,18,2074.15,2364.53,2671.92,12,19
"Spirit Level 24""",HW-007,Hand Tools,Pidilite,PCS,4779,28,481.16,596.64,656.3,10,25
Hex Key Set,HW-008,Hand Tools,Tata Steel,SET,6032,5,2165.38,2598.46,2806.34,25,33
Chisel Set,HW-009,Hand Tools,Hettich,PCS,6758,12,1354.34,1584.58,1901.5,11,21
Wire Cutter,HW-010,Hand Tools,Hindware,SET,6667,18,999.46,1349.27,1470.7,16,28
Impact Drill Machine,HW-011,Power Tools,UltraTech,PCS,3543,28,3849.6,4581.02,5176.55,18,30
"Angle Grinder 4""",HW-012,Power Tools,Crompton,SET,3640,5,1197.95,1485.46,1708.28,18,23
Jigsaw Machine,HW-013,Power Tools,Taparia,PCS,4861,12,2131.29,2706.74,3112.75,6,11
Rotary Hammer Drill,HW-014,Power Tools,Asian Paints,SET,6860,18,2673.65,3395.54,3599.27,6,14
Bench Grinder,HW-015,Power Tools,Finolex,PCS,5523,28,2605.48,2944.19,3120.84,11,23
Circular Saw,HW-016,Power Tools,UltraTech,SET,6790,5,275.64,311.47,339.5,19,28
Heat Gun,HW-017,Power Tools,Crompton,PCS,5664,12,347.82,413.91,476,14,26
Cordless Screwdriver,HW-018,Power Tools,Taparia,SET,4341,18,1258.1,1610.37,1787.51,19,29
Orbital Sander,HW-019,Power Tools,Asian Paints,PCS,4612,28,2749.84,3354.8,3858.02,14,21
Electric Planer,HW-020,Power Tools,Finolex,SET,4931,5,1752.34,2243,2512.16,9,16
MS Bolt M8x50,HW-021,Fasteners,Havells,BOX,3812,12,2697.71,3318.18,3583.63,10,18
MS Nut M8,HW-022,Fasteners,Pidilite,KG,3402,18,1857.61,2173.4,2369.01,11,17
"Wood Screw 1.5""",HW-023,Fasteners,Tata Steel,PCS,6950,28,871.13,1027.93,1130.72,7,12
Self Tapping Screw,HW-024,Fasteners,Hettich,BOX,5356,5,1073.64,1277.63,1354.29,5,17
Anchor Fastener 10mm,HW-025,Fasteners,Hindware,KG,8407,12,1311.24,1494.81,1569.55,19,28
Washer M8,HW-026,Fasteners,Havells,PCS,6591,18,476.14,533.28,618.6,13,28
Machine Screw M6,HW-027,Fasteners,Pidilite,BOX,4270,28,170.38,218.09,242.08,25,36
Carriage Bolt M10,HW-028,Fasteners,Tata Steel,KG,6357,5,2817.01,3408.58,4090.3,18,25
Rivet 4mm,HW-029,Fasteners,Hettich,PCS,5455,12,1628.03,2197.84,2527.52,9,20
Threaded Rod M10,HW-030,Fasteners,Hindware,BOX,4102,18,3903.73,4957.74,5354.36,17,26
"PVC Ball Valve 1""",HW-031,Plumbing,UltraTech,PCS,6096,28,2549.34,2957.23,3371.24,13,19
"Brass Gate Valve 1/2""",HW-032,Plumbing,Crompton,MTR,7825,5,818,1030.68,1144.05,8,18
PTFE Tape,HW-033,Plumbing,Taparia,PCS,5931,12,2373.9,2896.16,3098.89,16,30
"Pipe Wrench 14""",HW-034,Plumbing,Asian Paints,MTR,5980,18,1702.22,1974.58,2231.28,23,33
Flexible Hose Pipe,HW-035,Plumbing,Finolex,PCS,7730,28,692.69,858.94,1013.55,15,25
Bib Cock,HW-036,Plumbing,UltraTech,MTR,5804,5,2179.41,2876.82,3250.81,15,29
"PVC Elbow 1""",HW-037,Plumbing,Crompton,PCS,8236,12,3469.64,4302.35,4861.66,22,32
Angle Valve,HW-038,Plumbing,Taparia,MTR,4769,18,2057.1,2550.8,3009.94,15,30
Water Filter Cartridge,HW-039,Plumbing,Asian Paints,PCS,6385,28,2093.2,2763.02,3094.58,24,32
"Foot Valve 1""",HW-040,Plumbing,Finolex,MTR,8433,5,3398.47,4180.12,5016.14,11,22
Modular Switch 6A,HW-041,Electrical,Havells,PCS,3469,12,1962.87,2630.25,2866.97,17,32
