Product Name,Brand,Category,SKU,Quantity,Unit,Unit Price,GST %
Claw Hammer,Asian Paints,Hand Tools,,34,SET,2452.97,28
Screwdriver Set,Tata Steel,Hand Tools,,141,PCS,856.4,5
Adjustable Wrench,Crompton,Hand Tools,HW-003,52,SET,1593.51,12
Combination Plier,Havells,Hand Tools,,93,PCS,668.86,18
Hacksaw Blade,Finolex,Hand Tools,,41,SET,1817.15,28
Measuring Tape 5m,Hettich,Hand Tools,HW-006,105,PCS,423.16,5
"Spirit Level 24""",Taparia,Hand Tools,,27,SET,1896.38,12
Hex Key Set,Pidilite,Hand Tools,,110,PCS,1187.34,18
Chisel Set,UltraTech,Hand Tools,HW-009,70,SET,876.46,28
Wire Cutter,Hindware,Hand Tools,,53,PCS,3369.6,5
Impact Drill Machine,Hettich,Power Tools,,193,SET,1049.95,12
"Angle Grinder 4""",Taparia,Power Tools,HW-012,62,PCS,1867.29,18
Jigsaw Machine,Pidilite,Power Tools,,108,SET,2340.65,28
Rotary Hammer Drill,UltraTech,Power Tools,,135,PCS,2281.48,5
Bench Grinder,Hindware,Power Tools,HW-015,132,SET,243.64,12
Circular Saw,Asian Paints,Power Tools,,17,PCS,306.82,18
Heat Gun,Tata Steel,Power Tools,,21,SET,1103.1,28
Cordless Screwdriver,Crompton,Power Tools,HW-018,65,PCS,2407.84,5
Orbital Sander,Havells,Power Tools,,139,SET,1535.34,12
Electric Planer,Finolex,Power Tools,,90,PCS,2361.71,18
MS Bolt M8x50,Asian Paints,Fasteners,HW-021,136,KG,1627.61,28
MS Nut M8,Tata Steel,Fasteners,,95,PCS,764.13,5
"Wood Screw 1.5""",Crompton,Fasteners,,46,BOX,941.64,12
Self Tapping Screw,Havells,Fasteners,HW-024,56,KG,1149.24,18
Anchor Fastener 10mm,Finolex,Fasteners,,68,PCS,419.14,28
Washer M8,Hettich,Fasteners,,27,BOX,151.38,5
Machine Screw M6,Taparia,Fasteners,HW-027,12,KG,2466.01,12
Carriage Bolt M10,Pidilite,Fasteners,,142,PCS,1427.03,18
Rivet 4mm,UltraTech,Fasteners,,84,BOX,3416.73,28
Threaded Rod M10,Hindware,Fasteners,HW-030,195,KG,2232.34,5
"PVC Ball Valve 1""",Hettich,Plumbing,,129,MTR,718,12
"Brass Gate Valve 1/2""",Taparia,Plumbing,,44,PCS,2078.9,18
PTFE Tape,Pidilite,Plumbing,HW-033,120,MTR,1491.22,28
"Pipe Wrench 14""",UltraTech,Plumbing,,87,PCS,608.69,5
Flexible Hose Pipe,Hindware,Plumbing,,38,MTR,1909.41,12
Bib Cock,Asian Paints,Plumbing,HW-036,111,PCS,3037.64,18
"PVC Elbow 1""",Tata Steel,Plumbing,,174,MTR,1802.1,28
Angle Valve,Crompton,Plumbing,,105,PCS,1833.2,5
Water Filter Cartridge,Havells,Plumbing,HW-039,106,MTR,2975.47,12
"Foot Valve 1""",Finolex,Plumbing,,170,PCS,1718.87,18
Modular Switch 6A,Asian Paints,Electrical,,100,ROLL,3305.41,28
MCB 32A Single Pole,Tata Steel,Electrical,HW-042,189,BOX,1043.93,5
LED Bulb 9W,Crompton,Electrical,,62,PCS,2097.95,12
Ceiling Fan Regulator,Havells,Electrical,,121,ROLL,3433.78,18
Extension Board 4-Socket,Finolex,Electrical,HW-045,196,BOX,195.5,28
Electrical Tape,Hettich,Electrical,,14,PCS,2975.47,5
Two Pin Socket,Taparia,Electrical,,170,ROLL,2248.39,12
Distribution Board 8-Way,Pidilite,Electrical,HW-048,130,BOX,363.99,18
Tube Light 20W,UltraTech,Electrical,,24,PCS,2797.96,28
Doorbell Switch,Hindware,Electrical,,161,ROLL,1092.07,5
Emulsion Paint White,Hettich,Paint,HW-051,65,KG,760.12,12
Enamel Paint Blue,Taparia,Paint,,46,LTR,2907.27,18
Wood Primer,Pidilite,Paint,,167,KG,2620.45,28
Wall Putty,UltraTech,Paint,HW-054,151,LTR,2097.95,5
Distemper Paint,Hindware,Paint,,121,KG,3333.49,12
Metal Primer Red Oxide,Asian Paints,Paint,,191,LTR,1200.38,18
Textured Paint,Tata Steel,Paint,HW-057,71,KG,234.62,28
Waterproof Paint,Crompton,Paint,,17,LTR,1582.48,5
Spray Paint Black,Havells,Paint,,92,KG,3129.91,12
